"image","xmin","ymin","xmax","ymax","label"
"personai_icartoonface_dettrain_00001.jpg",249.73941368078175,201.93017366136033,302.77687296416934,230.606005788712,"right-eye"
"personai_icartoonface_dettrain_00001.jpg",346.1102062975027,174.89869753979738,394.35939196525516,211.79088277858176,"left-eye"
"personai_icartoonface_dettrain_00002.jpg",87.32597889522259,20.02106825815739,94.92806731813248,26.201565499040306,"right-eye"
"personai_icartoonface_dettrain_00002.jpg",103.18276669381108,20.25109464971209,110.0688365228013,25.805842130518233,"left-eye"
"personai_icartoonface_dettrain_00003.jpg",355.5952090119435,157.9668674698795,367.813042888165,172.27911646586344,"right-eye"
"personai_icartoonface_dettrain_00003.jpg",377.8288545059717,154.65612449799195,392.14074375678604,172.5,"left-eye"
"personai_icartoonface_dettrain_00003.jpg",453.4182274701411,189.75903614457832,459.1002985884907,197.11847389558233,"right-eye"
"personai_icartoonface_dettrain_00003.jpg",465.3799538545059,185.03263052208834,471.36332790445164,192.4949799196787,"left-eye"
"personai_icartoonface_dettrain_00004.jpg",425.4350570032573,242.01535508637238,441.001289359392,252.793905950096,"right-eye"
"personai_icartoonface_dettrain_00004.jpg",445.73805646036914,248.77399232245682,455.4489685124864,257.32125719769675,"left-eye"
"personai_icartoonface_dettrain_00005.jpg",319.47677261613694,221.98044009779952,354.5794621026895,250.8239608801956,"right-eye"
"personai_icartoonface_dettrain_00005.jpg",375.0244498777506,247.71149144254278,392.1784841075795,263.61858190709046,"left-eye"
"personai_icartoonface_dettrain_00008.jpg",418.5640608034745,239.61740231548478,454.8452768729642,289.7214182344428,"right-eye"
"personai_icartoonface_dettrain_00008.jpg",497.5217155266015,275.8502170767004,528.3197611292073,316.6090810419681,"left-eye"
"personai_icartoonface_dettrain_00010.jpg",221.70195439739413,164.04757597684514,240.43973941368077,185.7281114327062,"right-eye"
"personai_icartoonface_dettrain_00010.jpg",542.6547231270358,294.7006150506512,555.0244299674267,310.47123733719246,"right-eye"
"personai_icartoonface_dettrain_00012.jpg",370.11882464712266,179.17197125256672,419.0114685124864,243.49794661190964,"right-eye"
"personai_icartoonface_dettrain_00012.jpg",446.04736699239953,180.25359342915812,492.77124049945706,242.1252566735113,"left-eye"
"personai_icartoonface_dettrain_00017.jpg",257.59391965255156,111.43581081081082,387.09011943539633,256.8192567567568,"left-eye"
"personai_icartoonface_dettrain_00018.jpg",108.89657980456025,164.1505728314239,141.38080211726384,201.1221102700491,"right-eye"
"personai_icartoonface_dettrain_00018.jpg",162.8588151465798,147.25765906301146,195.06311074918565,189.1731536415712,"left-eye"
"personai_icartoonface_dettrain_00020.jpg",205.17372421281215,401.31071913161463,254.88056460369162,429.07462686567163,"left-eye"
"personai_icartoonface_dettrain_00027.jpg",213.1484799131379,377.98022598870057,245.09093376764386,392.8707627118644,"right-eye"
"personai_icartoonface_dettrain_00027.jpg",278.50135722041256,329.32909604519773,309.08876221498366,359.1066384180791,"left-eye"
"personai_icartoonface_dettrain_00031.jpg",203.53203040173725,147.91849662162164,233.85396308360478,164.24619932432435,"right-eye"
"personai_icartoonface_dettrain_00031.jpg",251.52117263843647,148.30236486486487,282.85776330076004,168.94763513513513,"left-eye"
"personai_icartoonface_dettrain_00036.jpg",327.2721226927253,220.6813819577735,419.6013165038002,259.5741362763915,"right-eye"
"personai_icartoonface_dettrain_00036.jpg",516.8255293159609,170.4954414587332,637.4422502714441,224.25143953934742,"left-eye"
"personai_icartoonface_dettrain_00038.jpg",191.92996742671008,213.06078147612155,253.00488599348532,259.3523878437048,"right-eye"
"personai_icartoonface_dettrain_00038.jpg",232.45385450597175,225.75162807525325,291.03963083604776,274.68071635311145,"left-eye"
"personai_icartoonface_dettrain_00039.jpg",198.70724755700326,129.44622829232995,228.6115635179153,147.60944283646887,"right-eye"
"personai_icartoonface_dettrain_00039.jpg",246.04438110749186,120.8479558610709,278.77035830618894,146.49828147612155,"left-eye"
"personai_icartoonface_dettrain_00046.jpg",259.44679695982626,152.59836852207295,352.94130021715523,196.51871401151632,"right-eye"
"personai_icartoonface_dettrain_00046.jpg",439.7964169381107,116.58829174664108,525.7415852334419,160.6741842610365,"left-eye"
"personai_icartoonface_dettrain_00050.jpg",393.96986970684037,194.4994834710744,410.18729641693807,210.11118285123968,"right-eye"
"personai_icartoonface_dettrain_00050.jpg",432.0684039087948,204.12764721074382,447.214983713355,220.33322572314052,"left-eye"
"personai_icartoonface_dettrain_00052.jpg",170.53686549945712,93.99519507285275,199.5220039359392,118.45952358128834,"right-eye"
"personai_icartoonface_dettrain_00052.jpg",231.22370385450597,81.45868481595092,266.87194625407164,106.9601226993865,"left-eye"
"personai_icartoonface_dettrain_00052.jpg",287.78586454940285,86.26459451687116,309.8004037730728,104.5253546779141,"left-eye"
"personai_icartoonface_dettrain_00052.jpg",131.4955720684039,199.0677362921779,148.43325868621065,221.64448332055213,"right-eye"
"personai_icartoonface_dettrain_00052.jpg",166.7684581976113,199.3752636119632,188.16800692182412,221.2203077070552,"left-eye"
"personai_icartoonface_dettrain_00056.jpg",356.02035830618894,153.88879189944134,397.08835504885997,183.03875698324023,"right-eye"
"personai_icartoonface_dettrain_00056.jpg",415.5757328990228,155.66323324022346,463.77850162866446,181.3999650837989,"left-eye"
"personai_icartoonface_dettrain_00060.jpg",129.28460912052117,120.00979662698413,179.80652823018457,177.56386408730157,"right-eye"
"personai_icartoonface_dettrain_00060.jpg",223.91924538545058,122.1423611111111,267.91687024972856,185.75248015873015,"left-eye"
"personai_icartoonface_dettrain_00060.jpg",398.8487377850163,231.86334325396825,422.44265743756785,262.86644345238096,"right-eye"
"personai_icartoonface_dettrain_00060.jpg",444.4468648208469,230.14794146825395,468.53352334419105,258.4970238095238,"left-eye"
"personai_icartoonface_dettrain_00060.jpg",566.685667752443,109.3469742063492,619.4842562432138,170.3174603174603,"right-eye"
"personai_icartoonface_dettrain_00060.jpg",670.9700732899023,99.96800595238095,718.0572068403909,163.93055555555554,"left-eye"
"personai_icartoonface_dettrain_00061.jpg",375.50325732899023,215.88978040540542,415.94896851248643,251.3158783783784,"right-eye"
"personai_icartoonface_dettrain_00061.jpg",417.6438653637351,192.9717060810811,453.49891422366994,231.75760135135135,"left-eye"
"personai_icartoonface_dettrain_00062.jpg",168.46819862920736,82.80829015544042,188.43359799131377,108.87737478411054,"right-eye"
"personai_icartoonface_dettrain_00062.jpg",274.8996929288816,91.24697754749567,300.07826072204125,114.29706390328151,"right-eye"
"personai_icartoonface_dettrain_00062.jpg",308.57123710640604,100.8082901554404,335.8765014250814,122.02072538860102,"left-eye"
"personai_icartoonface_dettrain_00062.jpg",487.5313687567861,107.68221070811744,509.6787035152009,123.90673575129533,"right-eye"
"personai_icartoonface_dettrain_00062.jpg",525.0799911780673,107.66493955094991,547.9730506921824,124.34196891191709,"left-eye"
"personai_icartoonface_dettrain_00062.jpg",663.3290750542888,112.99136442141624,679.4070388843647,126.47668393782384,"right-eye"
"personai_icartoonface_dettrain_00062.jpg",684.896401669381,82.81519861830742,710.6377154587404,108.10708117443868,"left-eye"
"personai_icartoonface_dettrain_00063.jpg",385.16049131378935,155.96459914611006,425.5296552660152,180.20973671726756,"right-eye"
"personai_icartoonface_dettrain_00063.jpg",457.49355320304016,153.71940227703985,503.0208333333333,177.27342267552183,"left-eye"
"personai_icartoonface_dettrain_00065.jpg",349.25515743756785,205.0464527027027,376.50651465798046,224.28927364864865,"right-eye"
"personai_icartoonface_dettrain_00065.jpg",397.5559174809989,204.27111486486487,420.37622149837136,224.06883445945948,"left-eye"
"personai_icartoonface_dettrain_00065.jpg",635.757328990228,138.09375,718.5184581976113,246.20396959459458,"right-eye"
"personai_icartoonface_dettrain_00065.jpg",818.1411509229099,109.46706081081082,896,246.60684121621625,"left-eye"
"personai_icartoonface_dettrain_00069.jpg",328.73235613463623,190.2351664254703,334.54397394136805,201.07000723589,"right-eye"
"personai_icartoonface_dettrain_00069.jpg",340.5564603691639,193.11685962373372,346.71824104234526,201.03473227206945,"left-eye"
"personai_icartoonface_dettrain_00072.jpg",309.524860395189,132.026035299511,342.8754027061856,156.86706334046454,"right-eye"
"personai_icartoonface_dettrain_00072.jpg",371.6987220790378,153.2257697891198,406.43829870060136,187.98606547982882,"left-eye"
